timestamp,mac,ap_mac,rssi,channel,phy_type,vendor,ssid
1777690073,31:39:92:55:f6:7a,AC-40RT:AP3,-51,36,802.11n,Huawei,Starbucks
1777687067,0c:ca:3e:55:6b:d9,AC-40RT:AP2,-71,11,802.11ax,Samsung,HomeWiFi
1777689368,37:bc:79:6f:8c:d3,AC-40RT:AP2,-39,1,802.11ac,Unknown,CMCC-EDU
1777688539,92:40:e5:05:63:4b,AC-40RT:AP1,-33,44,802.11ac,Xiaomi,
1777687827,67:c4:a2:26:6c:0a,AC-40RT:AP1,-60,40,802.11ax,Xiaomi,CMCC-EDU
1777689800,ff:42:f4:16:dd:c6,AC-40RT:AP2,-61,48,802.11n,Google,CMCC-EDU
1777687520,03:7f:ae:b4:cb:a0,AC-40RT:AP2,-33,44,802.11n,Huawei,
1777687563,1c:0c:80:21:d3:08,AC-40RT:AP1,-43,40,802.11ac,Apple,HomeWiFi
1777689857,49:22:8d:73:15:9e,AC-40RT:AP4,-36,6,802.11ax,Unknown,CampusNet
1777686701,a5:be:d9:c4:33:ad,AC-40RT:AP2,-85,36,802.11n,Xiaomi,CampusNet
1777687180,f7:04:4f:3f:f2:b5,AC-40RT:AP2,-45,36,802.11n,Apple,CampusNet
1777688880,8a:0d:76:d6:a2:c6,AC-40RT:AP2,-80,36,802.11n,OnePlus,
1777687902,57:a3:bc:7a:b7:93,AC-40RT:AP2,-33,1,802.11ax,Unknown,Starbucks
1777689883,fc:52:93:32:b3:68,AC-40RT:AP1,-42,48,802.11ac,Apple,Starbucks
1777689496,3f:ad:b8:28:a7:94,AC-40RT:AP1,-33,36,802.11n,OnePlus,CMCC-EDU
1777688432,32:a4:23:ac:85:5c,AC-40RT:AP3,-31,44,802.11ax,OnePlus,Office5G
1777686757,a4:3c:ad:42:29:57,AC-40RT:AP1,-73,48,802.11ax,Unknown,HomeWiFi
1777687694,1c:0c:80:21:d3:08,AC-40RT:AP1,-61,6,802.11ax,OnePlus,HomeWiFi
1777688660,15:49:b2:4d:3d:53,AC-40RT:AP4,-77,11,802.11ac,Apple,Office5G
1777689829,fc:52:93:32:b3:68,AC-40RT:AP1,-30,48,802.11ac,Unknown,HomeWiFi
1777689416,ca:6e:f8:c3:57:2b,AC-40RT:AP3,-80,48,802.11ax,Apple,HomeWiFi
1777689824,60:83:a8:18:b0:91,AC-40RT:AP1,-81,6,802.11ac,Xiaomi,Office5G
1777689866,ca:6e:f8:c3:57:2b,AC-40RT:AP3,-60,40,802.11ac,OnePlus,CampusNet
1777686733,c5:4a:d8:94:9a:d4,AC-40RT:AP1,-39,44,802.11n,Huawei,CMCC-EDU
1777689018,3f:ad:b8:28:a7:94,AC-40RT:AP1,-38,11,802.11ac,OnePlus,HomeWiFi
1777687570,15:da:68:89:6e:e5,AC-40RT:AP2,-32,48,802.11ac,Apple,CampusNet
1777686900,36:10:c3:4c:2a:f8,AC-40RT:AP2,-31,36,802.11ax,Unknown,CMCC-EDU
1777686746,3c:09:65:2a:ce:90,AC-40RT:AP2,-85,40,802.11n,OnePlus,Starbucks
1777686659,85:96:8b:18:c3:c5,AC-40RT:AP2,-77,48,802.11ac,OnePlus,CMCC-EDU
1777686613,59:6e:44:4d:11:cb,AC-40RT:AP2,-51,11,802.11n,Google,CMCC-EDU
1777688333,84:b2:53:47:81:b9,AC-40RT:AP1,-79,36,802.11n,Unknown,CMCC-EDU
1777687019,b6:2d:7f:e4:3a:c8,AC-40RT:AP2,-69,36,802.11ax,Huawei,
1777686604,f1:de:52:cb:50:9c,AC-40RT:AP1,-48,44,802.11ax,Xiaomi,
1777689066,57:a3:bc:7a:b7:93,AC-40RT:AP2,-52,48,802.11ax,OnePlus,
1777688139,67:c4:a2:26:6c:0a,AC-40RT:AP1,-70,44,802.11n,Apple,CampusNet
1777686642,99:43:cf:64:58:31,AC-40RT:AP1,-64,6,802.11ac,Google,Starbucks
1777689533,1c:69:78:53:f6:1e,AC-40RT:AP1,-39,36,802.11ax,Apple,CMCC-EDU
1777689685,49:22:8d:73:15:9e,AC-40RT:AP4,-69,40,802.11n,Apple,CMCC-EDU
1777688744,44:e2:2e:8c:17:44,AC-40RT:AP1,-59,11,802.11n,Samsung,CMCC-EDU
1777689426,fc:52:93:32:b3:68,AC-40RT:AP1,-56,48,802.11ax,Apple,CMCC-EDU
1777689912,75:40:f5:01:d1:44,AC-40RT:AP3,-48,40,802.11ac,Unknown,Starbucks
1777688651,1c:69:78:53:f6:1e,AC-40RT:AP1,-38,6,802.11n,Samsung,CMCC-EDU
1777688991,ac:79:09:59:57:89,AC-40RT:AP5,-70,48,802.11n,Samsung,Starbucks
1777687104,44:69:b7:c6:72:c2,AC-40RT:AP3,-61,6,802.11ax,Apple,Office5G
1777688449,32:a4:23:ac:85:5c,AC-40RT:AP3,-37,1,802.11n,Google,CampusNet
1777686516,0c:e3:21:d8:8e:4c,AC-40RT:AP2,-81,11,802.11n,Huawei,CampusNet
1777688036,44:69:b7:c6:72:c2,AC-40RT:AP3,-54,48,802.11n,Unknown,Starbucks
1777688225,31:f8:2d:c7:cf:2f,AC-40RT:AP1,-78,40,802.11ac,OnePlus,CampusNet
